59.75	222.25	5.1	-120.25	42.25
59.75	221.75	5.5	-120.25	41.75
59.75	221.25	4.5	-120.25	41.25
59.75	220.75	3.9	-120.25	40.75
59.75	220.25	10.1	-120.25	40.25
59.75	219.75	7.9	-120.25	39.75
59.75	219.25	5.1	-120.25	39.25
59.75	218.75	10.1	-120.25	38.75
59.75	218.25	11.4	-120.25	38.25
59.75	217.75	15.2	-120.25	37.75
59.75	217.25	16.0	-120.25	37.25
59.75	216.75	17.5	-120.25	36.75
59.75	216.25	17.7	-120.25	36.25
59.75	215.75	17.0	-120.25	35.75
59.75	215.25	13.6	-120.25	35.25
59.75	214.75	14.0	-120.25	34.75
60.25	228.75	3.7	-119.75	48.75
60.25	228.25	9.8	-119.75	48.25
60.25	227.75	8.2	-119.75	47.75
60.25	227.25	10.2	-119.75	47.25
60.25	226.75	11.9	-119.75	46.75
60.25	226.25	11.5	-119.75	46.25
60.25	225.75	12.2	-119.75	45.75
60.25	225.25	9.0	-119.75	45.25
60.25	224.75	8.7	-119.75	44.75
60.25	224.25	7.8	-119.75	44.25
60.25	223.75	6.7	-119.75	43.75
60.25	223.25	7.6	-119.75	43.25
60.25	222.75	7.6	-119.75	42.75
60.25	222.25	7.4	-119.75	42.25
60.25	221.75	6.9	-119.75	41.75
60.25	221.25	6.8	-119.75	41.25
60.25	220.75	7.1	-119.75	40.75
60.25	220.25	10.2	-119.75	40.25
60.25	219.75	9.1	-119.75	39.75
60.25	219.25	9.1	-119.75	39.25
60.25	218.75	8.9	-119.75	38.75
60.25	218.25	6.6	-119.75	38.25
60.25	217.75	8.8	-119.75	37.75
60.25	217.25	16.5	-119.75	37.25
60.25	216.75	17.4	-119.75	36.75
60.25	216.25	17.0	-119.75	36.25
60.25	215.75	18.2	-119.75	35.75
60.25	215.25	13.3	-119.75	35.25
60.25	214.75	11.7	-119.75	34.75
60.75	228.75	5.0	-119.25	48.75
60.75	228.25	6.9	-119.25	48.25
60.75	227.75	8.7	-119.25	47.75
60.75	227.25	9.9	-119.25	47.25
60.75	226.75	10.3	-119.25	46.75
60.75	226.25	13.0	-119.25	46.25
60.75	225.75	12.4	-119.25	45.75
60.75	225.25	5.4	-119.25	45.25
60.75	224.75	8.0	-119.25	44.75
60.75	224.25	6.9	-119.25	44.25
60.75	223.75	6.5	-119.25	43.75
60.75	223.25	8.2	-119.25	43.25
60.75	222.75	7.4	-119.25	42.75
60.75	222.25	6.4	-119.25	42.25
60.75	221.75	5.7	-119.25	41.75
60.75	221.25	7.2	-119.25	41.25
60.75	220.75	11.4	-119.25	40.75
60.75	220.25	10.4	-119.25	40.25
60.75	219.75	10.3	-119.25	39.75
60.75	219.25	10.6	-119.25	39.25
60.75	218.75	9.7	-119.25	38.75
60.75	218.25	10.3	-119.25	38.25
60.75	217.75	2.9	-119.25	37.75
60.75	217.25	5.8	-119.25	37.25
60.75	216.75	15.4	-119.25	36.75
60.75	216.25	17.5	-119.25	36.25
60.75	215.75	17.9	-119.25	35.75
60.75	215.25	19.2	-119.25	35.25
60.75	214.75	10.4	-119.25	34.75
60.75	214.25	15.9	-119.25	34.25
